"","AÑO","catch","catchsd","catchn","catche","catchl","catchr"
"1","2005",14.3666666666667,12.1435854123346,6,9.71671349981589,4.64995316685077,24.0833801664826
"2","2006",32,31.9374388453426,5,27.9938850362289,4.00611496377109,59.9938850362289
"3","2007",30.6768905817175,18.1859437104822,1444,0.937994597300467,29.738895984417,31.6148851790179
"4","2008",28.0227894350697,18.0917088386861,1363,0.960461039910306,27.0623283951594,28.98325047498
"5","2009",30.2167655472637,18.4675263786664,1608,0.902638382402277,29.3141271648614,31.119403929666
"6","2010",19.3269924599435,16.0311023504824,1061,0.964614500074064,18.3623779598694,20.2916069600175
"7","2011",21.5727409638554,16.5572426571094,664,1.25936629249477,20.3133746713607,22.8321072563502
"8","2012",16.0316864535769,16.3104956480692,657,1.24718984187137,14.7844966117055,17.2788762954482
"9","2013",35.2887826086957,17.4201263687163,69,4.11031254722377,31.1784700614719,39.3990951559194
"10","2014",37.3714820143885,24.3536707170893,139,4.04860232887916,33.3228796855093,41.4200843432677
"11","2015",37.6609259259259,23.4954426611931,162,3.61804709321511,34.0428788327108,41.278973019141
"12","2016",29.4369565217391,22.1375595993052,69,5.22340005232942,24.2135564694097,34.6603565740685
"13","2017",20.7161076923077,20.9835807315231,65,5.10118428168006,15.6149234106276,25.8172919739878
"14","2018",23.0163855421687,19.7592797605182,83,4.25089282026293,18.7654927219057,27.2672783624316
"15","2019",26.3295897142857,22.6485897571405,175,3.35560035737119,22.9739893569145,29.6851900716569
