"","Zonapesca","AÑO","catch","catchsd","catchn","catche","catchl","catchr"
"1","1","2005",86.2,12.1435854123346,6,9.71671349981589,76.4832865001841,95.9167134998159
"2","1","2007",15230.71,16.8194921782226,651,1.29202368764027,15229.4179763124,15232.0020236876
"3","1","2008",21688.502,17.4215750101675,926,1.12209599642853,21687.3799040036,21689.6240959964
"4","1","2009",39691.224,18.5353310001938,1334,0.994650538762546,39690.2293494612,39692.2186505388
"5","1","2010",18422.184,16.1497882154344,944,1.0302175059295,18421.1537824941,18423.2142175059
"6","1","2011",7274.75,15.2855259329523,419,1.46359684872962,7273.28640315127,7276.21359684873
"7","1","2012",2760.978,13.2554523647771,200,1.83707821258295,2759.14092178742,2762.81507821258
"8","1","2013",354.155,16.2238226557718,14,8.49840186043704,345.656598139563,362.653401860437
"9","1","2014",2684.226,23.6699967408684,86,5.00261479904698,2679.22338520095,2689.22861479905
"10","1","2015",1502.06,21.0651156217618,60,5.33011173276215,1496.72988826724,1507.39011173276
"11","1","2016",1111.07,21.4816745261797,40,6.65711757845481,1104.41288242155,1117.72711757845
"12","1","2017",427.849,15.2232855372807,35,5.04338894561139,422.805611054389,432.892388945611
"13","1","2018",192.8,16.4338925504268,13,8.93340159764963,183.86659840235,201.73340159765
"14","1","2019",173.3302,22.9012442873912,13,12.4490294479765,160.881170552023,185.779229447976
"15","1","2020",911,23.5214076757242,21,10.0600873785562,900.939912621444,921.060087378556
"16","2","2006",100,40.4145188432738,3,45.7324929726012,54.2675070273988,145.732492972601
"17","2","2007",21270.909,17.9150829608318,609,1.42284721560577,21269.4861527844,21272.3318472156
"18","2","2008",15638.74,15.1169086242085,417,1.45091861106983,15637.2890813889,15640.1909186111
"19","2","2009",8897.335,17.9970752406919,274,2.1309572730131,8895.20404272699,8899.46595727301
"20","2","2010",1420.685,13.3430913857614,94,2.69737063169609,1417.9876293683,1423.3823706317
"21","2","2011",2631.15,16.3186117832522,112,3.02219366188234,2628.12780633812,2634.17219366188
"22","2","2012",6615.7,16.4718636400536,422,1.57157316283758,6614.12842683716,6617.27157316284
"23","2","2013",1084.516,17.5352962018637,32,6.07555851681683,1078.44044148318,1090.59155851682
"24","2","2014",1995.01,23.2782420689492,43,6.95767347409515,1988.0523265259,2001.9676734741
"25","2","2015",4412.96,21.7633533439112,96,4.35349738272623,4408.60650261727,4417.31349738273
"26","2","2016",545.08,24.9618929570656,16,12.2311027954481,532.848897204552,557.311102795448
"27","2","2017",295.66,23.0109348588214,13,12.5086568261558,283.151343173844,308.168656826156
"28","2","2018",806.574,19.3909073278104,38,6.16530297474466,800.408697025255,812.739302974745
"29","2","2019",2848.639,21.1686119692063,115,3.86893606531695,2844.77006393468,2852.50793606532
"30","2","2020",3024.5,19.7832517049801,60,5.00576136956814,3019.49423863043,3029.50576136957
"31","3","2006",60,28.2842712474619,2,39.1992796908011,20.8007203091989,99.1992796908011
"32","3","2007",7795.811,12.2707205028779,184,1.77300207375899,7794.03799792624,7797.58400207376
"33","3","2008",867.82,20.7479434364494,20,9.09302004632793,858.726979953672,876.913020046328
"34","3","2010",663.07,16.6931550787205,23,6.82217100070984,656.24782899929,669.89217100071
"35","3","2011",4418.4,14.7313783974764,133,2.50360410920529,4415.89639589079,4420.9036041092
"36","3","2012",1156.14,20.4104389875344,35,6.76186373255103,1149.37813626745,1162.90186373255
"37","3","2013",996.255,14.6774307908623,23,5.99838330346484,990.256616696535,1002.25338330346
"38","3","2014",515.4,17.3022927189819,10,10.7238750747044,504.676124925296,526.123875074704
"39","3","2015",186.05,15.7758174642922,6,12.6230510447284,173.426948955272,198.673051044728
"40","3","2016",375,21.4544717710402,13,11.662569400891,363.337430599109,386.662569400891
"41","3","2017",623.038,20.9960619157638,17,9.98071087880642,613.057289121194,633.018710878806
"42","3","2018",910.986,20.413451427662,32,7.07277010044329,903.913229899557,918.058770100443
"43","3","2019",1585.709,24.1469552728904,47,6.90337618064893,1578.80562381935,1592.61237618065
"44","3","2020",4783.8815,22.5670848836429,101,4.40111651879978,4779.4803834812,4788.2826165188
