"","AÑO","f1","f2","cpue","cpuen"
"1",2005,86.2,6,14.3666666666667,6
"2",2006,160,5,32,5
"3",2007,44297.43,1444,30.6768905817175,1444
"4",2008,38195.062,1363,28.0227894350697,1363
"5",2009,48588.559,1608,30.2167655472637,1608
"6",2010,20505.939,1061,19.3269924599434,1061
"7",2011,14324.3,664,21.5727409638554,664
"8",2012,10532.818,657,16.0316864535769,657
"9",2013,2434.926,69,35.2887826086956,69
"10",2014,5194.636,139,37.3714820143885,139
"11",2015,6101.07,162,37.6609259259259,162
"12",2016,2031.15,69,29.4369565217391,69
"13",2017,1346.547,65,20.7161076923077,65
"14",2018,1910.36,83,23.0163855421687,83
"15",2019,4607.6782,175,26.3295897142857,175
"16",2020,8719.3815,182,47.9086895604396,182
