"","Zonapesca","AÑO","VCPn"
"1","1",2005,6
"2","1",2007,651
"3","1",2008,926
"4","1",2009,1334
"5","1",2010,944
"6","1",2011,419
"7","1",2012,200
"8","1",2013,14
"9","1",2014,86
"10","1",2015,60
"11","1",2016,40
"12","1",2017,35
"13","1",2018,13
"14","1",2019,13
"15","1",2020,21
"16","2",2006,3
"17","2",2007,609
"18","2",2008,417
"19","2",2009,274
"20","2",2010,94
"21","2",2011,112
"22","2",2012,422
"23","2",2013,32
"24","2",2014,43
"25","2",2015,96
"26","2",2016,16
"27","2",2017,13
"28","2",2018,38
"29","2",2019,115
"30","2",2020,60
"31","3",2006,2
"32","3",2007,184
"33","3",2008,20
"34","3",2010,23
"35","3",2011,133
"36","3",2012,35
"37","3",2013,23
"38","3",2014,10
"39","3",2015,6
"40","3",2016,13
"41","3",2017,17
"42","3",2018,32
"43","3",2019,47
"44","3",2020,101
