"","ano","catch","catchsd","catchn","catche","catchl","catchr"
"1",2007,30.7156849315068,18.2562855150053,1626,0.887360800268878,29.828324131238,31.6030457317757
"2",2008,28.0269258987528,18.0914101241071,1589,0.889525825487989,27.1374000732648,28.9164517242407
"3",2009,30.221828358209,18.4672926672978,1924,0.82518018179979,29.3966481764092,31.0470085400087
"4",2010,19.3094073377234,16.0259554635122,1274,0.880009394595916,18.4293979431275,20.1894167323193
"5",2011,21.5777861445783,16.5561603798807,825,1.1297458157721,20.4480403288062,22.7075319603504
"6",2012,16.1123867069486,16.3587743544476,713,1.20075412725783,14.9116325796908,17.3131408342065
"7",2013,28.1097802197802,19.3328850435396,101,3.77037088130295,24.3394093384773,31.8801511010832
"8",2014,35.0900838323353,23.7282319581632,167,3.59877947297992,31.4913043593554,38.6888633053153
"9",2015,37.677898089172,23.5787581237056,158,3.67654998560765,34.0013481035643,41.3544480747796
"10",2016,29.4369565217391,22.1375595993052,69,5.22340005232942,24.2135564694097,34.6603565740685
"11",2017,21.9790476190476,20.9047856624858,63,5.16206579099768,16.8169818280499,27.1411134100453
"12",2018,15.29763015625,19.2404617136206,128,3.33317868389504,11.964451472355,18.630808840145
"13",2019,20.2515613793103,22.4973285719808,232,2.89490988876069,17.3566514905497,23.146471268071
"14",2020,47.9086895604396,21.7873891935525,182,3.16531975634174,44.7433698040978,51.0740093167813
