,zonapesca,ano,catch,catchsd,catchn,catche,catchl,catchr,,,,,,,,,,
1,1,2007,23.52076336,16.86687295,768,1.19289455,22.32786881,24.71365791,,,,,,,,,,
2,1,2008,23.42613391,17.42143903,1090,1.034234135,22.39189977,24.46036804,,,Año,Norte,Centro,Sur,Total,,,
3,1,2009,29.75832084,18.53525022,1629,0.900090136,28.8582307,30.65841098,,,2007,768,672,186,1626,,,
4,1,2010,19.49386892,16.14408878,1141,0.93673944,18.55712948,20.43060836,,,2008,1090,477,22,1589,,,
5,1,2011,17.37488095,15.26797674,576,1.246861856,16.1280191,18.62174281,,,2009,1629,295,-,1924,,,
6,1,2012,13.88514851,13.36766267,240,1.691211596,12.19393692,15.57636011,,,2010,1141,109,24,1274,,,
7,1,2013,24.77214286,16.74292787,15,8.472934862,16.299208,33.24507772,,,2011,576,116,133,825,,,
8,1,2014,30.56057732,22.747181,97,4.526784365,26.03379295,35.08736168,,,2012,240,442,31,713,,,
9,1,2015,24.86783333,21.22483731,60,5.370526154,19.49730718,30.23835949,,,2013,15,46,30,91,,,
10,1,2016,27.77675,21.48167453,40,6.657117578,21.11963242,34.43386758,,,2014,97,52,15,164,,,
11,1,2017,12.58411765,15.30043971,34,5.142952869,7.441164778,17.72707052,,,2015,60,95,3,158,,,
12,1,2018,10.0469645,14.77092194,20,6.473523012,3.573441488,16.52048751,,,2016,40,16,12,68,,,
13,1,2019,9.370642105,19.64935131,19,8.835263534,0.535378571,18.20590564,,,2017,34,12,17,63,,,
14,1,2020,43.38095238,23.52140768,21,10.06008738,33.320865,53.44103976,,,2018,20,60,45,125,,,
15,2,2007,34.83441034,18.12782004,672,1.370594661,33.46381568,36.205005,,,2019,19,129,60,208,,,
16,2,2008,37.50671463,15.11698144,477,1.356606774,36.15010785,38.8633214,,,2020,21,60,101,182,,,
17,2,2009,32.47846715,17.99586063,295,2.053570912,30.42489624,34.53203807,,,Total,5750,2581,679,9010,,,
18,2,2010,15.12340426,13.34658287,109,2.505560705,12.61784355,17.62896496,,,,,,,,,,
19,2,2011,23.52882883,16.38761943,116,2.982187641,20.54664119,26.51101647,,,,,,,,,,
20,2,2012,15.66107226,16.48979009,442,1.537276838,14.12379542,17.1983491,,,,,,,,,,
21,2,2013,28.4025641,20.2386178,46,5.84857447,22.55398963,34.25113857,,,Año,Norte,Centro,Sur,Total,Sum Captura,vcp,cpue (ton/vcp)
22,2,2014,40.71669231,25.4259127,52,6.910714805,33.8059775,47.62740711,,,2007,23.5,34.8,42.3,100.7,44845,1626,27.6
23,2,2015,46.18042553,21.30202004,95,4.283581925,41.89684361,50.46400746,,,2008,23.4,37.5,43.4,104.3,38201,1589,24
24,2,2016,34.0675,24.96189296,16,12.2311028,21.8363972,46.2986028,,,2009,29.8,32.5,-,62.2,48597,1924,25.3
25,2,2017,24.63833333,22.94991774,12,12.98489976,11.65343358,37.62323309,,,2010,19.5,15.1,28.8,63.4,20526,1274,16.1
26,2,2018,14.04842567,18.45841925,60,4.670538666,9.377887,18.71896433,,,2011,17.4,23.5,33.2,74.1,14328,825,17.4
27,2,2019,22.05111705,21.45263957,129,3.70197918,18.34913787,25.75309623,,,2012,13.9,15.7,36.9,66.4,10666,713,15
28,2,2020,50.40833333,19.7832517,60,5.00576137,45.40257196,55.4140947,,,2013,24.8,28.4,29.8,83,2558,101,25.3
29,3,2007,42.34569892,12.20632126,186,1.754189128,40.5915098,44.09988805,,,2014,30.6,40.7,45.9,117.2,5860,167,35.1
30,3,2008,43.39,20.74476218,22,8.668525099,34.7214749,52.0585251,,,2015,24.9,46.2,27.5,98.5,5915,158,37.4
31,3,2010,28.83043478,16.68893032,24,6.676840037,22.15359475,35.50727482,,,2016,27.8,34.1,28.8,90.6,2031,69,29.4
32,3,2011,33.22180451,14.73090103,133,2.503522981,30.71828153,35.72532749,,,2017,12.6,24.6,38.9,76.1,1385,63,22
33,3,2012,36.87096774,18.38981953,31,6.473582863,30.39738488,43.3445506,,,2018,10,14,20.3,44.4,1958,128,15.3
34,3,2013,29.838,19.97050884,30,7.146223494,22.69177651,36.98422349,,,2019,9.4,22.1,26.4,57.9,4698,232,20.3
35,3,2014,45.89333333,18.9059124,15,9.567535952,36.32579738,55.46086929,,,2020,43.4,50.4,47.4,141.2,8719,182,47.9
36,3,2015,27.46666667,22.30366188,3,25.2385056,2.228161064,52.70517227,,,,,,,,,,
37,3,2016,28.78333333,22.4072161,12,12.67784304,16.10549029,41.46117637,,,,,,,,,,
38,3,2017,38.89176471,18.75330345,17,8.914590772,29.97717393,47.80635548,,,,,,,,,,
39,3,2018,20.31660444,21.47240398,45,6.273682031,14.04292241,26.59028648,,,,,,,,,,
40,3,2019,26.43750833,25.50653297,60,6.453924731,19.9835836,32.89143306,,,,,,,,,,
41,3,2020,47.36516337,22.56708488,101,4.401116519,42.96404685,51.76627989,,,,,,,,,,
42,NA,2013,26.0425,19.19983761,10,11.89996397,14.14253603,37.94246397,,,,,,,,,,
43,NA,2014,30,13.22875656,3,14.9694722,15.0305278,44.9694722,,,,,,,,,,
44,NA,2016,29.6,NA,1,NA,NA,NA,,,,,,,,,,
45,NA,2018,0.001543333,0.001485811,3,0.001681322,-0.000137989,0.003224655,,,,,,,,,,
46,NA,2019,3.728143333,7.096988091,24,2.839334416,0.888808917,6.567477749,,,,,,,,,,
