"","ano","f1","f2","cpue","cpuen"
"1",2007,44844.9,1626,27.579889298893,1626
"2",2008,38200.7,1589,24.0407174323474,1589
"3",2009,48596.7,1924,25.2581600831601,1924
"4",2010,20525.9,1274,16.1113814756672,1274
"5",2011,14327.65,825,17.3668484848485,825
"6",2012,10666.4,713,14.9598877980365,713
"7",2013,2557.99,101,25.3266336633663,101
"8",2014,5860.044,167,35.0900838323353,167
"9",2015,5915.43,158,37.4394303797468,158
"10",2016,2031.15,69,29.4369565217391,69
"11",2017,1384.68,63,21.9790476190476,63
"12",2018,1958.09666,128,15.29763015625,128
"13",2019,4698.36224,232,20.2515613793103,232
"14",2020,8719.3815,182,47.9086895604396,182
