"","zonapesca","ano","VCPn"
"1","1",2007,768
"2","1",2008,1090
"3","1",2009,1629
"4","1",2010,1141
"5","1",2011,576
"6","1",2012,240
"7","1",2013,15
"8","1",2014,97
"9","1",2015,60
"10","1",2016,40
"11","1",2017,34
"12","1",2018,20
"13","1",2019,19
"14","1",2020,21
"15","2",2007,672
"16","2",2008,477
"17","2",2009,295
"18","2",2010,109
"19","2",2011,116
"20","2",2012,442
"21","2",2013,46
"22","2",2014,52
"23","2",2015,95
"24","2",2016,16
"25","2",2017,12
"26","2",2018,60
"27","2",2019,129
"28","2",2020,60
"29","3",2007,186
"30","3",2008,22
"31","3",2010,24
"32","3",2011,133
"33","3",2012,31
"34","3",2013,30
"35","3",2014,15
"36","3",2015,3
"37","3",2016,12
"38","3",2017,17
"39","3",2018,45
"40","3",2019,60
"41","3",2020,101
"42",NA,2013,10
"43",NA,2014,3
"44",NA,2016,1
"45",NA,2018,3
"46",NA,2019,24
