"","anos","BD_sep","BT_sep","R_sep","F_sep"
"1",2002,55152,201970,9055,0.39
"2",2003,53179,192010,10303,0.39
"3",2004,51321,255450,21500,0.42
"4",2005,80232,326810,19139,0.37
"5",2006,99869,276750,6226,0.26
"6",2007,62607,218600,10112,0.57
"7",2008,42930,189970,11155,0.63
"8",2009,37663,152740,5150,0.75
"9",2010,28169,105360,5565,0.47
"10",2011,26766,97339,4873,0.4
"11",2012,24980,153960,15503,0.47
"12",2013,54598,158470,2735,0.25
"13",2014,40289,154170,10885,0.41
"14",2015,44786,135440,3191,0.34
"15",2016,31542,90428,2601,0.43
"16",2017,18053,72424,4392,0.55
"17",2018,19482,67811,3384,0.28
"18",2019,20535,127120,13723,0.32
"19",2020,50792,137300,1693,0.17
"20",2021,38029,101400,3494,0.32
